,LOC,OCCUR,CASLT,DPRS,LATITUDE,LONGITUDE
0,경기도 광주시 중대동(광남초교 부근),2,2,0,37.393969668866,127.231344945814
1,경기도 부천시 소사구 심곡본동(부천남초교 부근),2,2,0,37.481717125246,126.782022384427
2,경기도 광주시 오포읍(광명초교 부근),3,3,0,37.359435520634,127.160781140638
3,경기도 남양주시 화도읍(가곡초교 부근),2,2,0,37.683617867172,127.306171020377
4,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,37.344763109331,126.806785284414
5,경기도 안산시 단원구 선부동(안산화정초교 부근),1,1,1,37.345731130588,126.817302691167
6,경기도 안산시 상록구 본오동(본오초교 부근),3,3,0,37.294094485973,126.868859590199
7,경기도 안산시 상록구 사동(초당초교 부근),2,2,0,37.284734397875,126.851008602466
8,경기도 안산시 상록구 본오동(이호초교 부근),2,2,0,37.286628549969,126.861179324168
9,경기도 안산시 상록구 수암동(안산초교 부근),2,2,0,37.363927634254,126.877497742128
10,경기도 용인시 처인구 김량장동(역북초교 부근),2,2,0,37.234858754429,127.191809999533
11,경기도 화성시 병점동(태안초교 부근),2,2,0,37.210868524963,127.042759000429
12,경기도 구리시 인창동(동인초교 부근),2,2,0,37.610915785336,127.133115238978
13,경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,37.450731226965,127.165031940972
14,경기도 시흥시 정왕동(보람유치원 부근),1,1,1,37.342912826167,126.754218608603
15,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,37.34431840627,126.805472099759
16,경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,37.340281280358,126.823144531596
17,경기도 안산시 상록구 본오동(본원초교 부근),3,3,0,37.291460766502,126.86300000165
18,경기도 수원시 영통구 망포동(태장초교 부근),2,3,0,37.241307591373,127.054255689749
19,경기도 안산시 단원구 초지동(초지초교 부근),2,5,2,37.311003479728,126.813468988304
20,경기도 안산시 단원구 와동(화랑초교 부근),2,4,0,37.331603631104,126.817938916549
21,경기도 화성시 향남읍(한울초교 부근),1,1,1,37.126554743108,126.917678271236
22,경기도 안산시 단원구 와동(와동초교 부근),2,2,0,37.336341400836,126.830516120624
23,경기도 이천시 송정동(송정초교 부근),2,2,0,37.294346083906,127.433894092639
24,경기도 부천시 소사구 심곡본동(부천남초교 부근),2,2,0,37.481211367212,126.781857567474
25,경기도 안산시 단원구 선부동(안산화정초교 부근),2,2,0,37.345074554448,126.815376329855
26,경기도 포천시 소흘읍(태봉초교 부근),2,3,0,37.833794445158,127.144310353241
27,경기도 부천시 오정구 원종동(원종초교 부근),1,1,1,37.518552094505,126.807153362539
28,경기도 수원시 권선구 고색동(호매실초교 부근),2,2,0,37.267825989579,126.956957304637
29,경기도 안산시 단원구 선부동(안산화정초교 부근),3,3,0,37.344889266228,126.815456461248
30,경기도 안양시 동안구 평촌동(벌말초교 부근),2,2,0,37.393562223819,126.979561294819
31,경기도 오산시 가수동(오산초교 부근),2,2,0,37.14436196983,127.049208686333
32,경기도 평택시 이충동(반지초교 부근),2,2,0,37.058406075381,127.070028391898
33,경기도 화성시 능동(푸른초교 부근),1,1,1,37.201517165686,127.055977245754
34,경기도 광명시 소하동(충현초교 부근),2,2,0,37.434256866562,126.885246353038
35,경기도 군포시 산본동(산본초교입구사거리 부근),2,3,0,37.367704833612,126.93321723329
36,경기도 부천시 원미구 역곡동(동곡초교 부근),2,2,1,37.490022740258,126.816710197119
37,경기도 고양시 일산서구 일산동(한뫼초교 부근),3,4,0,37.686499525234,126.767202895299
38,경기도 남양주시 가운동(가운초교 부근),2,2,0,37.600652987446,127.156887845998
39,경기도 부천시 원미구 상동(송내초교 부근),2,2,0,37.490115001707,126.76012162991
40,경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근),2,2,0,37.262664037516,127.044647487692
41,경기도 안산시 단원구 선부동(화랑초교 부근),2,2,0,37.331411397419,126.81807314576
42,경기도 안산시 단원구 선부동(안산화정초교 부근),3,3,0,37.345343501203,126.816461118187
43,경기도 의정부시 장암동(동암초교 부근),2,2,0,37.723345117284,127.053496816626
44,경기도 평택시 장당동(장당초교 부근),2,2,0,37.050395508147,127.057356631305
45,경기도 광주시 오포읍(매곡초교 부근),2,2,0,37.372254903142,127.247494113164
46,경기도 안산시 단원구 와동(와동초교 부근),2,6,0,37.337717115354,126.829916887056
47,경기도 광주시 퇴촌면(도수초교 부근),2,2,0,37.471515629644,127.316531044873
48,경기도 안산시 단원구 선부동(선일초교 부근),2,2,0,37.339829620142,126.800183438616
49,경기도 평택시 서정동(서정리초교 부근),1,1,1,37.058639804684,127.057289596739
50,경기도 광명시 철산동(광명북초교 부근),2,2,0,37.488156579563,126.867871562624
