LOC,OCCUR,CASLT,DPRS,LATITUDE,LONGITUDE,CCTV_YN,CCTV_CNT,ROAD_BT
경기도 광명시 소하동(충현초교 부근),2,2,0,37.4331996,126.886261,Y,1,6
경기도 광명시 철산동(광명북초교 부근),2,2,0,37.486841,126.867822,Y,2,6
경기도 광주시 오포읍(광명초교 부근),3,3,0,37.35960774,127.1607978,Y,5,16
경기도 광주시 오포읍(매곡초교 부근),2,2,0,37.37247874,127.2483165,Y,8,10
경기도 광주시 중대동(광남초교 부근),2,2,0,37.394032,127.2304633,Y,11,4
경기도 광주시 퇴촌면(도수초교 부근),2,2,0,37.47181561,127.318268,Y,9,10
경기도 구리시 인창동(동인초교 부근),2,2,0,37.610869,127.133985,Y,2,5
경기도 군포시 산본동(산본초교입구사거리 부근),2,3,0,37.36877285,126.9345454,Y,3,7
경기도 남양주시 가운동(가운초교 부근),2,2,0,37.6007821,127.1556886,Y,3,7
경기도 남양주시 화도읍(가곡초교 부근),2,2,0,37.6840286,127.3057737,Y,4,7
경기도 부천시 소사구 심곡본동(부천남초교 부근),4,4,0,37.482847,126.781914,Y,9,7
경기도 부천시 오정구 원종동(원종초교 부근),1,1,1,37.503526,126.766322,Y,24,5
경기도 부천시 원미구 상동(송내초교 부근),2,2,0,37.488931,126.759551,Y,19,16
경기도 부천시 원미구 역곡동(동곡초교 부근),2,2,1,37.489435,126.817506,Y,18,16
경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,37.451546,127.164951,Y,4,10
경기도 수원시 권선구 고색동(호매실초교 부근),2,2,0,37.267318,126.956392,Y,5,14
경기도 수원시 영통구 망포동(태장초교 부근),2,3,0,37.240873,127.054624,Y,2,12
경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근),2,2,0,37.264157,127.043191,Y,4,20
경기도 시흥시 정왕동(보람유치원 부근),1,1,1,37.3433344,126.7534243,Y,2,6
경기도 안산시 단원구 선부동(석수초교 부근),4,4,0,37.344731,126.806181,Y,6,13
경기도 안산시 단원구 선부동(선일초교 부근),2,2,0,37.339839,126.799584,Y,6,13
경기도 안산시 단원구 선부동(안산화정초교 부근),9,9,1,37.345895,126.817547,Y,6,13
경기도 안산시 단원구 선부동(화랑초교 부근),2,2,0,37.331232,126.818772,Y,4,17.5
경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,37.340283,126.824369,Y,6,13
경기도 안산시 단원구 와동(와동초교 부근),4,8,0,37.336678,126.831241,Y,12,10.5
경기도 안산시 단원구 초지동(초지초교 부근),2,5,2,37.312481,126.814233,Y,2,22.5
경기도 안산시 상록구 본오동(본오초교 부근),6,6,0,37.294611,126.868448,Y,5,4.5
경기도 안산시 상록구 본오동(이호초교 부근),2,2,0,37.286729,126.860614,Y,1,10
경기도 안산시 상록구 사동(초당초교 부근),4,4,0,37.285379,126.850861,Y,4,10
경기도 안양시 동안구 평촌동(벌말초교 부근),2,2,0,37.3940176,126.9801769,Y,5,10
경기도 오산시 가수동(오산초교 부근),2,2,0,37.14515778,127.0501654,Y,3,6
경기도 용인시 처인구 김량장동(역북초교 부근),2,2,0,37.2351568,127.1925468,Y,3,15
경기도 의정부시 장암동(동암초교 부근),2,2,0,37.723229,127.054179,Y,2,
경기도 이천시 송정동(송정초교 부근),2,2,0,37.297078,127.001711,Y,5,20
경기도 평택시 서정동(서정리초교 부근),1,1,1,37.058537,127.057272,Y,5,
경기도 평택시 이충동(반지초교 부근),2,2,0,37.0577174,127.069482,Y,5,
경기도 평택시 장당동(장당초교 부근),2,2,0,37.034626,127.0576368,Y,4,
경기도 포천시 소흘읍(태봉초교 부근),2,3,0,37.8344047,127.1449997,Y,4,13
경기도 화성시 능동(푸른초교 부근),1,1,1,37.202307,127.054663,Y,,8
경기도 화성시 병점동(태안초교 부근),2,2,0,37.223871,127.041655,Y,,12
경기도 화성시 향남읍(한울초교 부근),1,1,1,37.127137,126.917616,Y,,30
