Code,Loc,cctv_cnt,area,cctv_cnt/area
41820,가평군,35,843.6,0.041488857
41290,과천시,3,35.87,0.08363535
41210,광명시,107,38.5,2.779220779
41610,광주시,181,431.05,0.419904883
41310,구리시,26,33.31,0.780546382
41410,군포시,89,36.41,2.444383411
41570,김포시,173,276.65,0.625338876
41360,남양주시,243,458.1,0.530451866
41250,동두천시,108,95.66,1.128998536
41190,부천시,219,53.4,4.101123596
41130,성남시,160,141.72,1.128986734
41110,수원시,601,121.02,4.966121302
41390,시흥시,631,135.79,4.646881214
41270,안산시,477,149.5,3.190635452
41550,안성시,126,553.47,0.227654615
41170,안양시,153,58.48,2.61627907
41630,양주시,109,310,0.351612903
41830,양평군,39,877.76,0.04443128
41670,여주시,89,607.79,0.146432156
41800,연천군,23,679.32,0.033857387
41370,오산시,1014,42.74,23.72484792
41460,용인시,334,591.32,0.56483799
41430,의왕시,38,54,0.703703704
41150,의정부시,195,81.54,2.391464312
41500,이천시,156,497.9,0.313315927
41480,파주시,219,627.78,0.348848323
41220,평택시,544,458.12,1.1874618
41650,포천시,224,826.5,0.271022384
41450,하남시,149,93.04,1.601461737
41590,화성시,927,693.93,1.335869612
