,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
0,경기도 양평군 옥천초등학교,경기도 양평군 옥천면 옥천리 549-1번지,Y,2,7m,37.5194371269,127.4593091151
1,경기도 양평군 서종초등학교,경기도 양평군 서종면 문호리 733번지,Y,2,7m,37.6089484291,127.3480757690
2,경기도 양평군 정배초등학교,경기도 양평군 서종면 정배리 330번지,Y,2,7m,37.6026502533,127.4232057444
3,경기도 양평군 수입초등학교,경기도 양평군 서종면 수입리 673번지,Y,2,7m,37.6445884750,127.3754907739
4,경기도 양평군 단월초등학교,경기도 양평군 단월면 보룡리 693-1번지,Y,2,10m,37.5395186393,127.6730402320
5,경기도 양평군 청운초등학교,경기도 양평군 청운면 용두리 510-2번지,Y,2,6m,37.5547416350,127.7136795420
6,경기도 양평군 지평초등학교,경기도 양평군 지평면 지평리 502-2번지,Y,2,6m,37.4755284705,127.6376606006
7,경기도 양평군 곡수초등학교,경기도 양평군 지평면 곡수리 387-1번지,Y,2,9m,37.4181727905,127.6117482109
8,경기도 양평군 다문초등학교,경기도 양평군 용문면 다문리 626번지,Y,2,12m,37.4856675920,127.5918307958
9,경기도 양평군 개군초등학교,경기도 양평군 개군면 하자포리 276-1번지,Y,2,3m,37.4276179762,127.5345932268
10,경기도 양평군 고송분교,경기도 양평군 양동면 고송리 821-1번지,Y,2,4m,37.4865282210,127.7002111444
11,경기도 양평군 양평유치원,경기도 양평군 양평읍 양근리 242-11번지,N,,7m,37.4870544790,127.4976680451
12,경기도 양평군 사랑나무어린이집,경기도 양평군 용문면 마룡리 157-3번지,Y,2,11m,37.4861968594,127.6083312195
13,경기도 양평군 원덕초등학교,경기도 양평군 양평읍 원덕리 381번지,Y,2,4m,37.4681077869,127.5427021274
14,경기도 양평군 강상초등학교,경기도 양평군 강상면 신화리 243번지,Y,2,10m,37.4729958527,127.4787079436
15,경기도 양평군 양평동초등학교,경기도 양평군 양평읍 창대리 639번지,Y,2,6m,37.4881936178,127.5073994986
16,구름산초등학교,경기도 광명시 소하동 1287번지,Y,1,6,37.453018,126.884109
17,서면초등학교,경기도 광명시 소하동 904번지,Y,3,6,37.438615,126.880412
18,안현초등학교,경기도 광명시 하안동 864-1번지,Y,1,6,37.470968,126.867569
19,세모네모어린이집,경기도 광명시 광명5동 207-1,N,0,6,37.477795,126.850687
20,피노키오어린이집,경기도 광명시 광명동 155-8번지,N,0,6,37.479035,126.857845
21,하안남초등학교,경기도 광명시 하안동 111번지,Y,1,6,37.462151,126.885242
